id,control,cultivar,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
49,ti_Pinot Noir,Pinot Noir,1387200,1309849,2513274,2799071,2392357,2592701,3125882,1279105,3676000,3240209,0.0,3588106,6184345,0.0,4182134.74
50,ti_Pinot Saint George,Pinot Saint George,29180,0,7600,20920,14120,2480,0,0,0,0,0.0,0,0,0.0,5060.0
51,ti_Piriquita,Piriquita,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
52,ti_Primitivo,Primitivo,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,1650.0
53,ti_Rebo,Rebo,4240,1650,27620,16440,19780,13420,22290,12470,44440,94480,0.0,177172,15912,0.0,330784.0
54,ti_Refosco,Refosco,10430,9466,18705,12120,12080,13240,9310,3260,5240,7320,0.0,0,380,0.0,0.0
55,ti_Rondinella,Rondinella,648,100,1150,1020,1089,1053,1110,333,1899,1990,0.0,2340,684860,0.0,5280.0
56,ti_Ruby Cabernet,Ruby Cabernet,532095,379720,582497,470683,526124,486527,388019,220231,382994,248992,0.0,218783,78412,0.0,163069.0
57,ti_Sangiovese,Sangiovese,303438,258484,359833,280756,277679,122632,135962,26601,89404,63832,0.0,85292,3324793,0.0,92540.0
58,ti_Saperavi ,Saperavi ,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,13323.0
59,ti_Sira (falsa),Sira (falsa),0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
60,ti_Tannat,Tannat,4199190,2266985,4152135,4585214,3612439,2644014,2761604,985207,3668851,2940306,0.0,3571972,2634802,0.0,5712206.92
61,ti_Tempranillo,Tempranillo,242484,63526,256836,283929,219163,119398,182579,210551,357637,278456,0.0,442330,968038,0.0,375165.0
62,ti_Teroldego,Teroldego,105372,68593,179095,157368,124542,87820,97455,34019,87034,77625,0.0,106764,717757,0.0,123714.49
63,ti_Torrontes,Torrontes,0,0,0,4300,3090,9580,10070,1490,14630,16350,0.0,9700,0,0.0,23500.0
64,ti_Tinta Barroca,Tinta Barroca,6710,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
65,ti_Tinta Roriz ,Tinta Roriz ,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,3006.0
66,ti_Touriga Francesa,Touriga Francesa,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
67,ti_Touriga Nacional,Touriga Nacional,131833,97629,189928,133820,136565,86460,136611,53552,108245,122015,0.0,150166,38910,0.0,171866.0
68,ti_Tinta Madeira,Tinta Madeira,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
69,ti_Tintoria,Tintoria,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
70,ti_Trincdeira,Trincdeira,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
71,ti_Trousseau,Trousseau,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
72,ti_Zinfandel,Zinfandel,0,372,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
73,ti_Outras1,Outras1,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
74,BRANCASEROSADAS,BRANCAS E ROSADAS,32556903,22104122,37931015,36519724,36958341,35769155,40130577,18769366,44058213,38722156,0.0,41004206,71266239,0.0,63676297.78
75,br_Aliatico,Aliatico,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
76,br_Aligote,Aligote,0,0,2640,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
77,br_Altesse,Altesse,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
78,br_Alvarinho,Alvarinho,1675,1088,6668,5081,12413,16147,9860,16369,41225,32647,0.0,46574,242238,0.0,150467.0
79,br_Arriloba,Arriloba,35375,33750,38390,40000,28829,31140,34120,17070,5280,2580,0.0,2940,0,0.0,0.0
80,br_Auxerrois,Auxerrois,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
81,br_Burger,Burger,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0.0
